country,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,1,1,9,14,14,38,100,88,155,282,341,414,503,542,421,1469,1443,1824,1928,1617,1414
Albania,41,7,3,2,1,,1,,,,,,1,,,,1,2,4,2,1
Algeria,344,151,106,138,113,132,75,67,104,152,124,107,108,100,15,41,22,13,16,9,14
Angola,7,20,34,22,40,6,,,,,,,1,2,,,,,,2,6
Argentina,11,,1,,2,,1,,3,,,,1,5,1,2,2,1,1,2,3
Armenia,,2,2,2,2,,,,,,1,,1,,,,1,,2,2,
Australia,4,6,,1,2,,,,,2,,3,1,1,,,1,8,14,9,4
Austria,1,1,,,,,,,,1,1,7,3,,1,,1,,,3,1
Azerbaijan,1,,,1,4,1,,,,,1,2,2,,,,,3,,2,2
Bahamas,2,,,,,,,,,,,,,,,,1,,,,
Bahrain,11,,,,,,1,,,1,,1,,2,1,26,52,42,18,3,21
Bangladesh,17,2,11,23,15,5,4,11,23,23,9,19,27,22,13,18,139,130,469,88,41
Belarus,2,,1,,1,,,,,1,,1,,2,1,3,,,,,
Belgium,2,3,2,,,3,8,,,,1,,1,,,1,,2,,6,3
Belize,,,,1,,,,,,,,,,,,,1,,,,
Benin,,,,,,,,,,,1,,,,,,,,,,
Bhutan,,,,,,,,,,1,,3,,,1,,,1,,,
Bolivia,4,,,,,,1,,1,,3,,3,,,1,,,,,
Bosnia-Herzegovina,42,9,5,6,2,3,1,,1,1,2,4,1,1,1,,1,3,6,,
Brazil,39,2,1,2,3,1,1,,,3,,,,,,1,3,3,5,2,2
Bulgaria,3,2,1,2,1,1,,,,,,2,,,2,2,3,1,2,1,
Burkina Faso,,,,,,,,,,,,,,,,,1,,6,10,32
Burundi,79,13,13,17,37,18,18,1,5,5,3,7,,29,8,4,2,5,102,83,21
Cambodia,18,7,8,4,7,3,1,,,,,2,,,,,2,,,,
Cameroon,,1,,,,,,,,,1,1,1,3,3,,3,68,83,56,94
Canada,2,4,2,5,,,,2,,2,,5,4,2,,3,4,3,5,6,12
Central African Republic,,,,1,1,,,,,1,1,2,5,13,3,4,20,94,48,38,43
Chad,1,1,1,,,4,,,,11,7,8,3,1,,,,1,27,5,6
Chile,6,1,3,2,3,1,2,,,1,8,4,8,5,6,2,5,17,1,18,12
